,smiles,True,Prediction
0,O=C(C=C(NC1CCCCC1)C=Cc1cccnc1)C=Cc1cccnc1,-4.947,-4.32
1,Cn1cnc(n1)NC(=O)c1ncnc(c1)N(Cc1ccc(cc1)C(F)(F)F)C,-3.762,-5.567
2,O=C(NC1=CC=CC=C1OC(F)(F)F)N[C@@H]2COC3=NC([N+]([O-])=O)=CN3C2,-4.246,-4.739
3,COC1=CC(=NNC(=O)c2ccncc2)CC(C21Oc1c(C2=O)c(OC)cc(c1Cl)OC)C,-4.576,-3.7
4,COc1cc(OC)c(c2c1C(=O)C1(O2)C(C)CC(=NOCC(=O)O)C=C1OCc1ccccc1)Cl,-4.254,-5.193
5,OCCNC(=CC(=O)C=Cc1cccnc1)C=Cc1cccnc1,-2.361,-2.348
6,O=[N+](C1=CN2C(OC[C@H](OC3=CC=C(C=N3)C(F)(F)F)C2)=N1)[O-],-3.477,-3.867
7,FC1=CC(OC(F)(F)F)=CC=C1C(N=C2)=CC=C2CO[C@H]3COC4=NC([N+]([O-])=O)=CN4C3,-5.195,-4.784
8,O=[N+](C1=CN2C(OC[C@H](OCC3=CC=CN=C3C4=CC=C(C=C4)OC(F)(F)F)C2)=N1)[O-],-5.932,-4.685
9,COc1cc(ccc1OC)c1c(=O)c2ccc(c(c2oc1C(F)(F)F)CN1CCN(CC1)C)O,-4.174,-3.472
10,CN1CCN(CC1)c1cc(Cl)c(cc1[N+](=O)[O-])C(=O)Nc1cc(ccc1C)c1nc2c(s1)cccc2,-6.523,-7.394
11,CN(c1ncnc(c1)C(=O)Nc1ccccc1)Cc1cccnc1,-3.824,-3.154
12,COc1ccc(cc1)NC(=O)c1ncnc(c1)N(Cc1ccc(cc1)F)C,-4.208,-4.67
13,CCN(c1ncnc(c1)C(=O)Nc1ccccc1)Cc1ccc(cc1)Cl,-5.301,-5.602
14,FC1=CC=C(CN(C)C2=NC=NC(C(NC3=NN(C)C=C3)=O)=C2)C=C1,-4.046,-3.877
15,O=C(/C=C(NCCCOC)/C=C/C1=CN=CC=C1)/C=C/C2=CC=CN=C2,-3.047,-2.628
16,O=C(/C=C(NCCOC)/C=C/C1=CN=CC=C1)/C=C/C2=CC=CN=C2,-3.048,-2.048
17,O=C(C1=CC(OC(F)(F)F)=CC=C1)N[C@H]2COC3=NC([N+]([O-])=O)=CN3C2,-3.641,-4.117
18,O=[N+](C1=CN2C(OC[C@H](NCC3=CC=C(C=C3)OC(F)(F)F)C2)=N1)[O-],-3.63,-3.377
19,O=[N+](C1=CN2C(OC[C@H](OCC3=NC=CC=C3C4=CC=C(C=C4)OC(F)(F)F)C2)=N1)[O-],-3.748,-4.873
20,FC1=CC=C(CN(C)C2=NC=NC(C(NC3=CC=CC(N4CCN(C)CC4)=C3)=O)=C2)C=C1,-4.131,-4.343
21,FC1=CC=C(C2=NC(CO[C@H]3COC4=NC([N+]([O-])=O)=CN4C3)=CC=C2)C=C1,-4.79,-4.676
22,O=[N+](C1=CN2C(OC[C@H](OCC3=CC=C(C4=CC=C(C=C4)OC(F)F)C=N3)C2)=N1)[O-],-4.866,-4.852
23,CN(C1=NC=NC(C(NC2=CC=C(OC)C=C2)=O)=C1)CC3=CC=CC(F)=C3,-5.301,-4.62
24,O=C(NC1=CC=C(OC)C=C1)C2=CC(N(C)CC3=CC=C(Cl)C=C3)=NC(NC4CC4)=N2,-5.301,-6.06
25,FC1=CC=C(CN(C)C2=NC=NC(NC(C3=CC=CC=C3)=O)=C2)C=C1,-5.301,-5.576
26,CN(C1=NC=NC(C(NC2CCCCC2)=O)=C1)CC(C=C3)=CC=C3C(F)(F)F,-5.301,-5.897
27,FC1=CC=C(CN(C)C2=NC=NC(C(NC3=CC=C(OC(C)C)C=C3)=O)=C2)C=C1,-5.301,-5.112
28,O=[N+](C1=CN2C(OC[C@H](OCC3=CC=C(C4=CC=C(C=C4)OC(F)(F)F)C=N3)C2)=N1)[O-],-5.163,-4.865
29,O=[N+](C1=CN2C(OC[C@@H](OCC3=CC=C(C4=CC=C(C=C4)OC(F)F)C=N3)C2)=N1)[O-],-5.019,-4.852
30,FC1=CC(OC(F)(F)F)=CC=C1C2=CC=C(CO[C@H]3COC4=NC([N+]([O-])=O)=CN4C3)N=C2,-5.126,-4.928
31,CN(C1=NN=CC(C(NC2=CC=CC=C2)=O)=C1)CC3=CC=C(F)C=C3,-4.398,-4.252
32,O=[N+](C1=CN2C(OC[C@@H](OCC3=CC=CC(C4=CC=C(C=C4)OC(F)(F)F)=N3)C2)=N1)[O-],-5.163,-4.807
33,O=C1CC(C2=CN=CC=C2)N(CCCO)C(/C=C/C3=CC=CN=C3)=C1,-2.609,-1.845
34,ClC1=CC(OC(F)(F)F)=CC=C1C2=CC=C(CO[C@H]3COC4=NC([N+]([O-])=O)=CN4C3)N=C2,-5.21,-5.51
35,O=[N+](C1=CN2C(OC[C@@H](OCC(C=C3)=NN3C4=CC=C(C=C4)OC(F)(F)F)C2)=N1)[O-],-5.197,-3.832
36,O=[N+](C1=CN2C(OC[C@H](OCC3=CC=C(C4=CC=C(C=C4)OC(F)F)N=C3)C2)=N1)[O-],-5.299,-4.69
37,CN(C1=NC=NC(C(NC2=NN=CS2)=O)=C1)CC(C=C3)=CN=C3C(F)(F)F,-3.719,-3.975
